GRP	ROOM	CLASS	DATE	MEAS	PARAM	SITE	BLOCK	REP	RES
FF	505	ISO8	1/7/2013	TP	5	A1	1	1	2
FF	505	ISO8	1/17/2013	TP	5	A1	1	1	12
FF	505	ISO8	1/22/2013	TP	5	A1	1	1	30
FF	505	ISO8	1/28/2013	TP	5	A1	1	1	44
FF	505	ISO8	2/5/2013	TP	5	A1	1	1	0
FF	505	ISO8	2/14/2013	TP	5	A1	1	1	3
FF	505	ISO8	2/18/2013	TP	5	A1	1	1	4
FF	505	ISO8	2/25/2013	TP	5	A1	1	1	0
FF	505	ISO8	3/4/2013	TP	5	A1	1	1	23
FF	505	ISO8	3/15/2013	TP	5	A1	1	1	16
FF	505	ISO8	3/27/2013	TP	5	A1	1	1	19
FF	505	ISO8	1/2/2013	TP	0.5	A1	1	2	85
FF	505	ISO8	1/7/2013	TP	0.5	A1	1	2	3
FF	505	ISO8	1/17/2013	TP	0.5	A1	1	2	37
FF	505	ISO8	1/22/2013	TP	0.5	A1	1	2	48
FF	505	ISO8	1/28/2013	TP	0.5	A1	1	2	201
FF	505	ISO8	2/5/2013	TP	0.5	A1	1	2	1
FF	505	ISO8	2/14/2013	TP	0.5	A1	1	2	108
FF	505	ISO8	2/18/2013	TP	0.5	A1	1	2	2
FF	505	ISO8	2/25/2013	TP	0.5	A1	1	2	0
FF	505	ISO8	3/4/2013	TP	0.5	A1	1	2	16
FF	505	ISO8	3/15/2013	TP	0.5	A1	1	2	32
FF	505	ISO8	3/27/2013	TP	0.5	A1	1	2	44
FF	505	ISO8	1/2/2013	TP	5	A1	1	2	5
FF	505	ISO8	1/7/2013	TP	5	A1	1	2	0
FF	505	ISO8	1/17/2013	TP	5	A1	1	2	5
FF	505	ISO8	1/22/2013	TP	5	A1	1	2	17
FF	505	ISO8	1/28/2013	TP	5	A1	1	2	11
FF	505	ISO8	2/5/2013	TP	5	A1	1	2	1
FF	505	ISO8	2/14/2013	TP	5	A1	1	2	7
FF	505	ISO8	2/18/2013	TP	5	A1	1	2	0
FF	505	ISO8	2/25/2013	TP	5	A1	1	2	0
FF	505	ISO8	3/4/2013	TP	5	A1	1	2	4
FF	505	ISO8	3/15/2013	TP	5	A1	1	2	4
FF	505	ISO8	3/27/2013	TP	5	A1	1	2	8
FF	505	ISO8	1/2/2013	TP	0.5	A1	1	3	69
FF	505	ISO8	1/7/2013	TP	0.5	A1	1	3	7
FF	505	ISO8	1/17/2013	TP	0.5	A1	1	3	22
FF	505	ISO8	1/22/2013	TP	0.5	A1	1	3	29
FF	505	ISO8	1/28/2013	TP	0.5	A1	1	3	84
FF	505	ISO8	2/5/2013	TP	0.5	A1	1	3	3
FF	505	ISO8	2/14/2013	TP	0.5	A1	1	3	37
FF	505	ISO8	2/18/2013	TP	0.5	A1	1	3	1
FF	505	ISO8	2/25/2013	TP	0.5	A1	1	3	0
FF	505	ISO8	3/4/2013	TP	0.5	A1	1	3	11
FF	505	ISO8	3/15/2013	TP	0.5	A1	1	3	57
FF	505	ISO8	3/27/2013	TP	0.5	A1	1	3	27
FF	505	ISO8	1/2/2013	TP	5	A1	1	3	7
FF	505	ISO8	1/7/2013	TP	5	A1	1	3	0
FF	505	ISO8	1/17/2013	TP	5	A1	1	3	6
FF	505	ISO8	1/22/2013	TP	5	A1	1	3	12
FF	505	ISO8	1/28/2013	TP	5	A1	1	3	5
FF	505	ISO8	2/5/2013	TP	5	A1	1	3	0
FF	505	ISO8	2/14/2013	TP	5	A1	1	3	1
FF	505	ISO8	2/18/2013	TP	5	A1	1	3	0
FF	505	ISO8	2/25/2013	TP	5	A1	1	3	0
FF	505	ISO8	3/4/2013	TP	5	A1	1	3	1
FF	505	ISO8	3/15/2013	TP	5	A1	1	3	10
FF	505	ISO8	3/27/2013	TP	5	A1	1	3	5
FF	505	ISO8	1/2/2013	TP	0.5	A2	1	1	15
FF	505	ISO8	1/7/2013	TP	0.5	A2	1	1	9
FF	505	ISO8	1/17/2013	TP	0.5	A2	1	1	60
FF	505	ISO8	1/22/2013	TP	0.5	A2	1	1	2
FF	505	ISO8	1/28/2013	TP	0.5	A2	1	1	12
FF	505	ISO8	2/5/2013	TP	0.5	A2	1	1	7
FF	505	ISO8	2/14/2013	TP	0.5	A2	1	1	43
FF	505	ISO8	2/18/2013	TP	0.5	A2	1	1	0
FF	505	ISO8	2/25/2013	TP	0.5	A2	1	1	7
FF	505	ISO8	3/4/2013	TP	0.5	A2	1	1	24
FF	505	ISO8	3/15/2013	TP	0.5	A2	1	1	45
FF	505	ISO8	3/27/2013	TP	0.5	A2	1	1	1
FF	505	ISO8	1/2/2013	TP	5	A2	1	1	2
FF	505	ISO8	1/7/2013	TP	5	A2	1	1	1
FF	505	ISO8	1/17/2013	TP	5	A2	1	1	1
FF	505	ISO8	1/22/2013	TP	5	A2	1	1	1
FF	505	ISO8	1/28/2013	TP	5	A2	1	1	3
FF	505	ISO8	2/5/2013	TP	5	A2	1	1	3
