Rm	Date	part_5
147	39892	4
158	39892	5
146	39895	9
146	39895	11
146	39895	4
146	39895	18
146	39895	19
146	39895	1
147	39895	4
147	39895	0
147	39895	2
147	39895	2
144	39896	6
144	39896	18
144	39896	7
147	39896	1
147	39896	4
147	39896	3
147	39896	0
142	39897	0
142	39897	0
143	39897	3
142	39898	0
142	39898	0
142	39898	0
142	39898	0
142	39898	0
142	39898	2
146	39898	1
146	39898	0
146	39898	0
146	39898	1
146	39898	1
146	39898	0
158	39898	1
146	39899	2
146	39899	1
146	39899	2
146	39899	0
146	39899	0
146	39899	0
147	39902	7
147	39902	3
147	39902	3
147	39902	1
142	39903	5
142	39903	1
143	39903	2
144	39903	3
144	39903	9
144	39903	8
146	39903	0
146	39903	0
146	39903	0
146	39903	3
146	39903	1
146	39903	2
146	39903	3
146	39903	1
146	39903	0
147	39903	3
147	39903	1
142	39905	3
142	39905	2
144	39905	29
144	39905	20
144	39905	7
147	39906	6
147	39906	3
147	39906	5
147	39906	3
158	39906	1
158	39923	12
146	39924	1
146	39924	1
146	39924	1
146	39924	1
146	39924	1
146	39924	0
133	39925	0
142	39925	12
142	39925	44
143	39925	75
144	39925	144
144	39925	1047
144	39925	92
146	39925	22
146	39925	17
146	39925	8
146	39925	7
146	39925	14
146	39925	0
147	39925	82
147	39925	17
147	39925	2
147	39925	9
129	39926	0
142	39926	1
142	39926	10
143	39926	1400
143	39926	1400
144	39926	26
144	39926	70
144	39926	14
146	39926	5
146	39926	10
146	39926	0
146	39926	21
146	39926	35
146	39926	2
147	39926	26
147	39926	22
156	39926	3
146	39927	101
146	39927	106
146	39927	0
146	39927	18
146	39927	22
146	39927	22
147	39927	22
147	39927	20
147	39927	16
147	39927	0
147	39927	0
147	39927	0
147	39927	20
147	39927	0
147	39927	1
147	39927	1
153	39927	0
153	39927	0
133	39930	0
146	39930	70
146	39930	40
146	39930	6
146	39930	213
146	39930	145
146	39930	1
147	39930	125
147	39930	89
146	39931	495
146	39931	211
146	39931	72
146	39931	209
146	39931	83
146	39931	67
147	39931	346
147	39931	534
153	39931	0
156	39931	0
142	39932	5
142	39932	5
143	39932	190
144	39932	317
144	39932	360
144	39932	252
