"","90% Coverage","95% Coverage","99% Coverage"
"All Data (12SEP2013)",9.54,10.74,13.02
"Remove lots 130136, 130036",7.92,8.82,10.52
"Remove lots 130136, 130036, 130040",7.78,8.66,10.34
