"","90% Coverage","95% Coverage","99% Coverage"
"All Data (26AUG2013)",6.67,7.65,9.54
"Remove lots 130136, 130036",4.56,5.13,6.2
"Remove lots 130136, 130036, 130040",4.25,4.76,5.73
