"","90% Coverage","95% Coverage","99% Coverage"
"All Data (12SEP2013)",6.46,7.41,9.21
"Remove lots 130136, 130036",4.46,5,6.03
"Remove lots 130136, 130036, 130040",4.17,4.66,5.59
