Rm	Date	Read1	Read2	Read3	MEAN
135	39955	109	23	94	75
135	39955	26	40	9	25
135	39955	18	31	26	25
143	39955	25	5	0	10
145	39955	139	126	31	99
152	39955	114	144	159	139
153	39955	98	122	413	211
153	39955	58	29	28	38
153	39955	25	30	27	27
154	39955	122	110	109	114
156	39955	8	7	2	6
156	39955	3	5	10	6
157	39955	150	179	54	128
159	39955	1	112	0	38
159	39955	30	56	5	30
147A	39955	28	10	13	17
126	39959	158	188	83	143
127	39959	43	26	26	32
127	39959	5	2	2	3
127	39959	32	58	59	50
128	39959	11	1	1	4
128	39959	11	1	1	4
129	39959	9	14	2	8
129	39959	16	20	20	19
129	39959	1	2	0	1
129	39959	9	14	2	8
129	39959	16	20	20	19
129	39959	1	2	0	1
131	39959	112	63	10	62
131	39959	6	8	15	10
131	39959	54	7	1	21
134	39959	120	42	31	64
135	39959	18	14	6	13
135	39959	13	24	21	19
135	39959	8	9	3	7
156	39959	122	18	88	76
156	39959	50	70	8	43
164	39959	2	0	0	1
147A	39959	290	53	40	128
128	39961	169	112	87	123
129	39961	277	168	256	234
129	39961	84	18	49	50
129	39961	42	39	67	49
131	39961	28	26	38	31
131	39961	95	56	58	70
131	39961	76	101	117	98
132	39961	72	100	213	128
133	39961	46	38	120	68
133	39961	99	51	98	83
133	39961	217	252	80	183
143	39961	3232	3576	1577	2795
145	39961	58	45	28	44
153	39961	68	74	20	54
153	39961	40	16	9	22
153	39961	216	85	46	116
154	39961	289	84	102	158
157	39961	20	17	7	15
159	39961	4	0	0	1
159	39961	0	0	0	0
126	39962	139	91	64	98
127	39962	50	22	50	41
127	39962	37	10	3	17
127	39962	3	1	1	2
132	39962	148	120	108	125
133	39962	85	86	23	65
133	39962	118	79	32	76
133	39962	22	24	33	26
134	39962	117	48	24	63
135	39962	24	9	79	37
135	39962	102	28	51	60
135	39962	81	63	135	93
143	39962	21591	7148	2261	10333
145	39962	137	64	36	79
152	39962	191	54	109	118
156	39962	63	48	8	40
156	39962	63	8	0	24
157	39962	826	30	10	289
159	39962	94	5	176	92
159	39962	0	0	0	0
134	39963	178	92	59	110
135	39963	126	135	61	107
135	39963	13	17	33	21
135	39963	22	12	24	19
128	39965	82	32	43	52
129	39965	71	39	50	53
129	39965	21	59	266	115
129	39965	230	183	76	163
134	39965	90	45	24	53
135	39965	11	6	2	6
135	39965	21	15	12	16
135	39965	7	2	23	11
152	39965	22	328	172	174
156	39965	266	32	24	107
156	39965	1	1	34	12
164	39965	0	0	0	0
164	39965	0	0	2	1
147A	39965	22	12	8	14
147A	39965	15	9	5	10
164	39966	0	0	0	0
164	39966	0	4	14	6
147A	39966	73	84	65	74
147A	39966	147	108	65	107
128	39967	76	52	38	55
129	39967	63	57	152	91
129	39967	7	12	21	13
129	39967	158	87	180	142
131	39967	97	372	226	232
131	39967	11	6	5	7
131	39967	3	0	0	1
