Rm Date	TAMC
159	39906	0
159	39906	0
159	39906	0
159	39906	0
159	39906	0
159	39906	0
128	39912	6
129	39912	0
129	39912	0
129	39912	0
129	39912	4
128	39913	26
129	39913	0
129	39913	0
129	39913	0
129	39913	1
126	39923	0
127	39923	0
127	39923	0
127	39923	0
148	39923	0
157	39923	0
157	39923	0
157	39923	0
159	39923	0
159	39923	0
159	39923	0
159	39923	0
159	39923	0
159	39923	0
159	39923	0
159	39923	0
131	39925	0
131	39925	0
131	39925	0
133	39925	0
133	39925	0
143	39925	0
145	39925	0
145	39925	0
145	39925	0
128	39926	1
129	39926	0
129	39926	0
129	39926	0
129	39926	0
134	39926	1
135	39926	0
135	39926	0
135	39926	0
135	39926	1
143	39926	0
145	39926	0
145	39926	0
145	39926	0
153	39927	0
154	39927	0
154	39927	0
154	39927	1
156	39927	0
156	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	1
164	39927	0
164	39927	0
164	39927	0
164	39927	0
147A	39927	0
147A	39927	0
147A	39927	0
147A	39927	0
147A	39927	0
147A	39927	0
147A	39927	0
147A	39927	0
147A	39927	0
147A	39927	0
131	39930	0
131	39930	0
131	39930	0
133	39930	0
133	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
147A	39930	0
147A	39930	0
147A	39930	0
147A	39930	0
147A	39930	0
147A	39930	0
147A	39930	0
147A	39930	0
147A	39930	0
147A	39930	0
152	39931	0
153	39931	0
153	39931	0
153	39931	0
156	39931	0
156	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
147A	39931	0
147A	39931	0
147A	39931	0
147A	39931	0
147A	39931	0
147A	39931	0
147A	39931	0
147A	39931	0
147A	39931	0
147A	39931	0
143	39932	1
147	39933	0
147	39933	0
147	39933	0
147	39933	1
147	39933	0
147	39933	0
147	39933	0
147	39933	0
147	39933	0
147	39933	0
164T	39933	0
164T	39933	0
164T	39933	0
164T	39933	0
164T	39933	0
164T	39933	0
164T	39933	0
164T	39933	1
126	39934	1
127	39934	0
127	39934	0
127	39934	0
143	39934	0
157	39934	0
157	39934	0
157	39934	0
159	39934	0
159	39934	0
159	39934	0
159	39934	0
159	39934	0
159	39934	0
159	39934	0
159	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
147A	39934	0
147A	39934	0
147A	39934	0
147A	39934	0
147A	39934	0
147A	39934	1
147A	39934	0
147A	39934	0
147A	39934	0
