GRP	ROOM	CLASS	DATE	MEAS	PARAM	SITE	BLOCK	REP	RES
FF	505	ISO8	3/30/2012	TP	5	A1	1	3	1
FF	505	ISO8	1/5/2012	TP	0.5	A2	1	1	8
FF	505	ISO8	1/9/2012	TP	0.5	A2	1	1	1
FF	505	ISO8	1/19/2012	TP	0.5	A2	1	1	0
FF	505	ISO8	1/27/2012	TP	0.5	A2	1	1	0
FF	505	ISO8	1/30/2012	TP	0.5	A2	1	1	1
FF	505	ISO8	2/10/2012	TP	0.5	A2	1	1	32
FF	505	ISO8	2/16/2012	TP	0.5	A2	1	1	22
FF	505	ISO8	2/20/2012	TP	0.5	A2	1	1	2
FF	505	ISO8	3/4/2012	TP	0.5	A2	1	1	3
FF	505	ISO8	3/6/2012	TP	0.5	A2	1	1	0
FF	505	ISO8	3/12/2012	TP	0.5	A2	1	1	0
FF	505	ISO8	3/24/2012	TP	0.5	A2	1	1	8
FF	505	ISO8	3/30/2012	TP	0.5	A2	1	1	28
FF	505	ISO8	1/5/2012	TP	5	A2	1	1	0
FF	505	ISO8	1/9/2012	TP	5	A2	1	1	0
FF	505	ISO8	1/19/2012	TP	5	A2	1	1	0
FF	505	ISO8	1/27/2012	TP	5	A2	1	1	0
FF	505	ISO8	1/30/2012	TP	5	A2	1	1	1
FF	505	ISO8	2/10/2012	TP	5	A2	1	1	1
FF	505	ISO8	2/16/2012	TP	5	A2	1	1	0
FF	505	ISO8	2/20/2012	TP	5	A2	1	1	0
FF	505	ISO8	3/4/2012	TP	5	A2	1	1	0
FF	505	ISO8	3/6/2012	TP	5	A2	1	1	0
FF	505	ISO8	3/12/2012	TP	5	A2	1	1	0
FF	505	ISO8	3/24/2012	TP	5	A2	1	1	6
FF	505	ISO8	3/30/2012	TP	5	A2	1	1	5
FF	505	ISO8	1/5/2012	TP	0.5	A2	1	2	3
FF	505	ISO8	1/9/2012	TP	0.5	A2	1	2	1
FF	505	ISO8	1/19/2012	TP	0.5	A2	1	2	0
FF	505	ISO8	1/27/2012	TP	0.5	A2	1	2	0
FF	505	ISO8	1/30/2012	TP	0.5	A2	1	2	0
FF	505	ISO8	2/10/2012	TP	0.5	A2	1	2	21
FF	505	ISO8	2/16/2012	TP	0.5	A2	1	2	23
FF	505	ISO8	2/20/2012	TP	0.5	A2	1	2	0
FF	505	ISO8	3/4/2012	TP	0.5	A2	1	2	0
FF	505	ISO8	3/6/2012	TP	0.5	A2	1	2	1
FF	505	ISO8	3/12/2012	TP	0.5	A2	1	2	0
FF	505	ISO8	3/24/2012	TP	0.5	A2	1	2	0
FF	505	ISO8	3/30/2012	TP	0.5	A2	1	2	105
FF	505	ISO8	1/5/2012	TP	5	A2	1	2	0
FF	505	ISO8	1/9/2012	TP	5	A2	1	2	0
FF	505	ISO8	1/19/2012	TP	5	A2	1	2	0
FF	505	ISO8	1/27/2012	TP	5	A2	1	2	0
FF	505	ISO8	1/30/2012	TP	5	A2	1	2	0
FF	505	ISO8	2/10/2012	TP	5	A2	1	2	4
FF	505	ISO8	2/16/2012	TP	5	A2	1	2	0
FF	505	ISO8	2/20/2012	TP	5	A2	1	2	0
FF	505	ISO8	3/4/2012	TP	5	A2	1	2	0
FF	505	ISO8	3/6/2012	TP	5	A2	1	2	0
FF	505	ISO8	3/12/2012	TP	5	A2	1	2	0
FF	505	ISO8	3/24/2012	TP	5	A2	1	2	0
FF	505	ISO8	3/30/2012	TP	5	A2	1	2	5
FF	505	ISO8	1/5/2012	TP	0.5	A2	1	3	8
FF	505	ISO8	1/9/2012	TP	0.5	A2	1	3	1
FF	505	ISO8	1/19/2012	TP	0.5	A2	1	3	0
FF	505	ISO8	1/27/2012	TP	0.5	A2	1	3	0
FF	505	ISO8	1/30/2012	TP	0.5	A2	1	3	0
FF	505	ISO8	2/10/2012	TP	0.5	A2	1	3	1
FF	505	ISO8	2/16/2012	TP	0.5	A2	1	3	15
FF	505	ISO8	2/20/2012	TP	0.5	A2	1	3	11
FF	505	ISO8	3/4/2012	TP	0.5	A2	1	3	0
FF	505	ISO8	3/6/2012	TP	0.5	A2	1	3	1
FF	505	ISO8	3/12/2012	TP	0.5	A2	1	3	0
FF	505	ISO8	3/24/2012	TP	0.5	A2	1	3	0
FF	505	ISO8	3/30/2012	TP	0.5	A2	1	3	140
FF	505	ISO8	1/5/2012	TP	5	A2	1	3	0
FF	505	ISO8	1/9/2012	TP	5	A2	1	3	0
FF	505	ISO8	1/19/2012	TP	5	A2	1	3	0
FF	505	ISO8	1/27/2012	TP	5	A2	1	3	0
FF	505	ISO8	1/30/2012	TP	5	A2	1	3	0
FF	505	ISO8	2/10/2012	TP	5	A2	1	3	1
FF	505	ISO8	2/16/2012	TP	5	A2	1	3	3
FF	505	ISO8	2/20/2012	TP	5	A2	1	3	0
FF	505	ISO8	3/4/2012	TP	5	A2	1	3	0
FF	505	ISO8	3/6/2012	TP	5	A2	1	3	0
FF	505	ISO8	3/12/2012	TP	5	A2	1	3	0
FF	505	ISO8	3/24/2012	TP	5	A2	1	3	0
FF	505	ISO8	3/30/2012	TP	5	A2	1	3	2
FF	505	ISO8	1/5/2012	TP	0.5	A3	1	1	44
FF	505	ISO8	1/9/2012	TP	0.5	A3	1	1	20
FF	505	ISO8	1/19/2012	TP	0.5	A3	1	1	0
FF	505	ISO8	1/27/2012	TP	0.5	A3	1	1	6
FF	505	ISO8	1/30/2012	TP	0.5	A3	1	1	0
