Rm	Date	Read1	Read2	Read3	Mean
156	05/18/09	8	4	297	103
156	05/18/09	1	4	2	2
143	05/19/09	24	85	18	42
145	05/19/09	15	2	5	7
152	05/19/09	107	98	106	104
128	05/20/09	29	24	18	24
129	05/20/09	352	310	203	288
129	05/20/09	119	47	34	67
129	05/20/09	9	46	41	32
131	05/20/09	145	170	96	137
131	05/20/09	28	28	8	21
131	05/20/09	3	37	14	18
132	05/20/09	184	103	58	115
133	05/20/09	121	68	37	75
133	05/20/09	167	93	77	112
133	05/20/09	41	31	72	48
153	05/20/09	86	106	72	88
153	05/20/09	149	61	36	82
153	05/20/09	89	117	70	92
154	05/20/09	74	27	9	37
126	05/21/09	315	183	137	212
127	05/21/09	102	66	67	78
127	05/21/09	35	22	38	32
127	05/21/09	9	11	13	11
132	05/21/09	134	48	30	71
132	05/21/09	134	48	30	71
133	05/21/09	50	36	27	38
133	05/21/09	93	66	68	76
133	05/21/09	20	20	10	17
133	05/21/09	50	36	27	38
133	05/21/09	93	66	68	76
133	05/21/09	20	20	10	17
153	05/21/09	232	281	94	202
153	05/21/09	58	30	32	40
153	05/21/09	8	15	27	17
154	05/21/09	359	273	189	274
157	05/21/09	53	38	58	50
159	05/21/09	144	279	394	272
159	05/21/09	116	253	435	268
164	05/21/09	2	0	0	1
164	05/21/09	13	12	8	11
147A	05/21/09	58	26	8	31
147A	05/21/09	223	303	99	208
147A	05/21/09	84	66	53	68
147A	05/21/09	48	36	27	37
126	05/22/09	160	88	219	156
127	05/22/09	51	7	7	22
127	05/22/09	7	4	4	5
127	05/22/09	5	38	2	15
134	05/22/09	374	290	150	271
135	05/22/09	109	23	94	75
135	05/22/09	26	40	9	25
135	05/22/09	18	31	26	25
143	05/22/09	25	5	0	10
145	05/22/09	139	126	31	99
152	05/22/09	114	144	159	139
153	05/22/09	98	122	413	211
153	05/22/09	58	29	28	38
153	05/22/09	25	30	27	27
154	05/22/09	122	110	109	114
156	05/22/09	8	7	2	6
156	05/22/09	3	5	10	6
157	05/22/09	150	179	54	128
159	05/22/09	1	112	0	38
159	05/22/09	30	56	5	30
147A	05/22/09	28	10	13	17
126	05/26/09	158	188	83	143
127	05/26/09	43	26	26	32
